time,x,y,yaw,vx,vy,r,vx_cmd,delta,target_x,target_y,target_yaw,cost,alpha_f,alpha_r,runtime,vx_goal,r_goal
0,0.8,0.0,1.5707963267948966,0.0,0.0,0.0,0.1,0.0,0.8,0.0,1.5707963267948966,23.120108403535582,0.0,0.0,0.5249152183532715,2.5,3.125
0.08,0.8,0.0,1.5707963267948966,0.45491893914396897,0.0,0.0,0.5318561233064384,0.4537181549145377,0.7999744001365331,0.006399931733551786,1.5787963267948966,9.120326470091621,-0.046770214350140615,0.03833965278867677,0.6484167575836182,2.5,3.125
0.16,0.8,0.03639351513151752,1.5707963267948966,0.8237537771609849,0.21192223741854943,1.2585449460490665,2.4999999999999853,-0.697999999999989,0.7998976021845148,0.012799453873657133,1.5867963267948966,24.57248439657956,0.7036635908180272,-0.07478762041541379,0.5468399524688721,2.5,3.125
0.24,0.7830462210065161,0.10229381730439631,1.671479922478822,1.1684673432991066,-0.03505062031261108,0.36641234600292794,1.628012096919063,0.5179016331196412,0.7997696110589877,0.01919815685308343,1.5947963267948966,8.94952552428754,-0.31314828189428423,0.02526700638392037,0.37675929069519043,2.5,3.125
0.32,0.7764403237614521,0.19557965107870842,1.7007929101590562,1.4717598698730894,0.18685053589025238,1.0444978656259702,1.6667955406521913,0.36247591254864,0.7995904349513404,0.025595631157024096,1.6027963267948966,0.9970154855605743,-0.03667787891239904,-0.11397917573243523,0.4088754653930664,2.5,3.125
0.4,0.7463555800173298,0.31038925743972245,1.7843527394091339,1.833259233359906,0.252426942452478,3.2264789298586893,2.1717668790612485,0.5398743328941503,0.7993600853287823,0.031991467349307336,1.6107963267948966,0.09771202366222191,-0.3067324363533006,-0.12895013358476076,0.7462747097015381,2.5,3.125
0.48,0.6955373521369531,0.449438471368244,2.0424710537978292,2.1914630721461386,0.16437874460715116,3.13054858387704,1.7933749752622001,0.5995747865496021,0.7990785769336111,0.03838525609859994,1.6187963267948966,0.2005457826304307,-0.45629890380278915,-0.19073966515465027,0.2768065929412842,2.5,3.125
0.56,0.6041626065787851,0.5996371823848052,2.2929149405079925,2.213310728151059,-0.011089364034444604,2.9053049828189876,2.398454543648107,0.3332938164503277,0.7987459277822676,0.04477658820460439,1.6267963267948966,0.15334537844988255,-0.21359003633562246,-0.21158389998545826,0.38663530349731445,2.5,3.125
0.64,0.48779271189157625,0.7330942866239006,2.5253393391335113,2.352442432645105,-0.0658443783550824,3.067124350080787,2.4633721988881194,0.33550586005705796,0.7983621591641841,0.05116505462424743,1.6347963267948966,0.2833490261086869,-0.2743276732263804,-0.2607493240013235,0.3691380023956299,2.5,3.125
0.72,0.33726046537650733,0.8461663715873243,2.770709287139974,2.4473406427841113,-0.20537347976876197,3.124203455398929,2.5,0.3668574408538433,0.797927295640421,0.05755024649785883,1.6427963267948966,0.46956971400944747,-0.38984928963891313,-0.32372536974993404,0.14283061027526855,2.5,3.125
0.8,0.16074009691594546,0.9324400537960098,3.0206455635718883,2.49131487382122,-0.4018211025070302,3.0296436186555322,2.5,0.3592683164435091,0.7974413650420956,0.06393175517533817,1.6507963267948966,0.9018258584913983,-0.46183065265655676,-0.386925052433453,0.14695072174072266,2.5,3.125
0.88,-0.033230675702584006,0.9883975677061605,3.2630170530643308,2.4796999792246814,-0.5893753564523719,2.938410292178739,2.5,0.5354467567473964,0.7969043984686002,0.07030917224230825,1.6587963267948966,1.499893759423764,-0.7209959597229695,-0.44188207015010744,0.18951416015625,2.5,3.125
0.96,-0.23585715927316556,1.0111718967080523,3.49808987643863,2.466193065398883,-0.7743434489967552,2.738466866690836,0.8181525851116089,0.5226952986753418,0.7963164302856123,0.07668208954625363,1.6667963267948966,3.55977698735574,-0.8056178539964693,-0.5418134847254854,0.15799641609191895,2.5,3.125
1.04,-0.4423669444565258,1.0003695309668332,3.717167225773897,2.283579516298543,-0.9783166364329783,2.7649633811089056,2.5,0.6550143010698221,0.7956774981228949,0.08305009922264217,1.6747963267948967,4.41511737128134,-1.0076663987335244,-0.5785046918281508,0.13584256172180176,2.5,3.125
1.12,-0.638219963416934,0.9665854578890517,3.938364296262609,2.2312817048895437,-1.1025768416062967,2.4743480118464194,2.4999999999999973,0.17216285675494117,0.7949876428718883,0.08941279372102817,1.6827963267948967,6.595828105040818,-0.5570152552150547,-0.6165404063005755,0.11003780364990234,2.5,3.125
1.2,-0.8260731129106907,0.9005955029724689,4.136312137210322,2.074568251059111,-1.1190466937869774,2.45112924168584,2.5,0.21034350704262939,0.794246908683093,0.0957697658311355,1.6907963267948967,7.57372590446054,-0.6156173920514129,-0.6434535114461581,0.12181663513183594,2.5,3.125
1.28,-0.9915559900663992,0.8101828350115683,4.33240247654519,1.9366796061213423,-1.1058822645527733,2.418225939849736,2.5,0.24310746685406054,0.7934553429632445,0.102120608708919,1.6987963267948967,8.414167172340832,-0.6550967510512542,-0.6577203615755994,0.1143648624420166,2.5,3.125
1.36,-1.131182319786632,0.6991144312249987,4.525860551733169,1.821765840061622,-1.0665277331161616,2.3779380617845685,2.499999999999999,0.27203531514426355,0.7926129963722784,0.10846491590260221,1.7067963267948967,9.056098056424355,-0.6756333214182095,-0.657964244844433,0.13949084281921387,2.5,3.125
1.44,-1.242052058847556,0.5717240904518495,4.716095596675935,1.7334609348509211,-1.0055064871332127,2.3324642367779647,2.5,0.3146262224551695,0.7917199228200893,0.11480228137869027,1.7147963267948967,9.682479978806299,-0.6941277274543167,-0.6422705341091133,0.1468217372894287,2.5,3.125
