Corner ID,Radius (meters),Turn Angle (degrees),Center X (meters),Center Y (meters)
1,0.9240323325461077,126.71987067754608,-4.434565208943812,-4.429824322099965
2,1.4145725492142556,88.40707482164285,-4.150111590834978,-3.291055439042207
3,0.4903000159872806,139.4714683541219,-0.7459479549484505,-4.936299818996492
4,2.2370564862768725,52.01345138880032,0.35084873886892487,-9.13041549010204
5,0.9479778510269522,119.11498855294101,0.7507852462541007,-13.922602588479805
6,5.10987884732366,122.97144771641086,1.2781977701965275,-4.988823718970756
7,1.7232795064559958,71.87541749943892,4.46465857160303,-22.17243849215512
8,1.0415302224344938,109.93995527137284,5.725374146372589,-22.862680353783418
9,2.072829175076193,55.44777164483304,7.512849469513164,-6.9794125970216845
10,2.4749845338228527,47.77660518860518,8.306342413342099,-14.411747306754755
