Corner ID,Radius (meters),Turn Angle (degrees),Center X (meters),Center Y (meters)
1,195.5348336267047,49.24047340520117,-20.128471949060238,202.36683589054232
2,1.6935854214504544,69.70052335873679,-6.887500685399069,7.225293509050313
3,2.3219908986448097,55.31118106798478,-6.123026799741162,7.52375908796336
4,1.1834316313059066,97.38227846671697,35.02447978932434,35.17474985024138
5,0.4539482579309027,104.3244669955513,39.6183232297037,44.093706877662264
6,1.4710317841319516,82.23279967241189,41.3820046297863,43.77342407952013
7,2.4199258381732682,54.117352425444835,42.549046983436654,43.24765616358105
8,1.4823777302412788,82.29004703089333,45.02496477849149,27.888270307109284
9,1.0124972138703918,112.20523824652064,50.71219951213648,-23.857240315038954
10,1.3242764239819713,90.55341536480064,50.76393996445205,28.435855081184854
11,2.641932308934153,47.81164889550436,87.70419945042521,41.07925092140664
12,1.0021976244487747,114.36244047661737,135.12010618085645,81.78278326511725
