Corner ID,Radius (meters),Turn Angle (degrees),Center X (meters),Center Y (meters)
1,0.5541058582831078,168.65675269961494,-9.101231726672252,-19.365399822640892
2,1.4217458496413404,85.5947134554141,-2.3719032135705236,-1.382410681232156
3,1.1026912720183515,105.86618335961579,-2.119393868491703,-12.348291560414989
4,1.3534391053651151,89.99786712066442,-1.0194438853210943,-8.120382417660931
5,1.1326276974234346,172.30563903403447,0.7517029689464915,1.2173930395567356
6,1.6751638739944077,142.51997069465108,2.568124788668645,-1.4149844142504662
7,1.4341049484101618,83.2577517871973,5.322533862945372,-13.54307179127541
8,1.2429621991565365,94.00421558961675,5.637283767559316,-13.703248356093418
9,1.2345500245038084,94.14118779555976,13.435288648089239,-4.459970444297388
10,1.1612928460045577,100.61589012598064,13.584304165211398,-1.358772871106386
