Corner ID,Radius (meters),Turn Angle (degrees),Center X (meters),Center Y (meters)
1,1.7984922542695898,70.19861035408486,-11.260349434322597,-8.627669922801893
2,1.0683173968520479,170.45982091495839,1.167185301148515,1.1030043217741081
3,1.4257116218502293,84.33982102966911,3.3294492897766115,-18.52552012810084
4,1.9634339509567211,64.60093872751207,8.42968215296758,-21.745402863951433
5,9.091435654676857,153.06117463221196,9.378921608082166,-5.74429209449392
6,0.9522867214695587,121.37311768593696,10.204650116120371,-0.8676085825322186
7,0.9292331856761429,123.76614206972823,13.73938195859426,-7.10768638325951
8,1.6247235300925538,72.85870838100752,17.041299936435284,-28.28047650594109
9,0.851659062385728,133.5387687005513,17.5971535465321,-7.236351145249385
10,2.1302274927521188,60.6638828922211,21.000646486572073,-18.593657035116237
11,2.3911728962635754,54.109943632849834,21.262331778300457,-18.902528668052298
