time,x,y,yaw,vx,vy,r,delta,Fx,Delta_delta,target_x,target_y,target_yaw,cost,alpha_f,alpha_r,runtime,vx_goal,r_goal
0,0.4,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,4.9999999988080575,-0.6979999998668176,0.4,0.0,1.5707963267948966,1085.7099864832014,-0.0069799999986681766,0.0,0.6777894496917725,2.5,6.25
0.01,0.4,0.0,1.5707963267948966,0.02127659573960875,0.0,0.0,-0.0069799999986681766,4.999999999629246,0.6979999999660041,0.39999980000001667,0.00039999993333333667,1.5717963267948967,1081.551068050833,-0.003463160826067736,-1.2513657412077184e-05,0.6798262596130371,2.5,6.25
0.02,0.4,0.00021276595739608753,1.5707963267948966,0.04246267765295782,8.222008953178801e-05,0.0005701334877918181,9.91863709220997e-13,4.9999999991418145,0.697999999934858,0.3999992000002667,0.0007999994666667734,1.5727963267948966,1077.288372357074,0.00020148664722350988,-2.653182597932812e-05,0.6818404197692871,2.5,6.25
0.03,0.3999991777991047,0.0006373927339256657,1.5708020281297745,0.06355858117209329,0.00024094327770584337,0.0016698558939858789,0.006980000000340442,4.999999998030038,0.6979999998847815,0.39999820000135,0.00119999820000081,1.5737963267948967,1072.924214786961,0.0039099101419842516,-5.029446449845795e-05,0.709291934967041,2.5,6.25
0.04,0.3999967647426401,0.0012729785318992856,1.5708187266887144,0.08456471578016474,0.0004757159605655785,0.003290499884606119,0.013959999999188257,4.999999998679948,0.6979999999305072,0.3999968000042667,0.001599995733336747,1.5747963267948966,1068.4608987102856,0.007640616421484796,-8.538780807083956e-05,0.6812422275543213,2.5,6.25
0.05,0.3999919886406291,0.002118625582928909,1.5708516316875605,0.10548149031747,0.0007861278273947909,0.005423792532960964,0.02093999999849333,5.0,0.698,0.39999500001041666,0.0019999916666770838,1.5757963267948967,1063.9007180706253,0.01138642362788328,-0.00013219147645725566,0.6637139320373535,2.5,6.25
0.06,0.39998406902594225,0.0031734400497233136,1.5709058696128901,0.1263093124708591,0.001171766831165225,0.008061626302080845,0.02791999999849333,4.999999999654732,0.6979999999794795,0.3999928000216,0.00239998560002592,1.5767963267948966,1059.2459571020906,0.015144319271116119,-0.00019072756775856693,0.6523656845092773,2.5,6.25
0.07,0.3999722129949209,0.004436531883267175,1.570986485875911,0.14704858876834986,0.001632211744714217,0.011196018458235769,0.03489999999828813,5.0,0.698,0.3999902000400166,0.0027999771333893572,1.5777963267948967,1054.4988895524145,0.018912873306133723,-0.000260882320944103,0.6944139003753662,2.5,6.25
0.08,0.3999556112515255,0.005907014640565104,1.5710984460604933,0.16769972466905078,0.0021670303156487375,0.014819098417524117,0.04187999999828813,4.9999999996286935,0.6979999999758625,0.39998720006826655,0.003199965866775893,1.5787963267948966,1049.661777973923,0.022691364167135138,-0.0003424821272044435,0.677412748336792,2.5,6.25
0.09,0.39993343429618916,0.0075840052637047945,1.5712466370446685,0.18826312463153433,0.0027757788442903386,0.018923102222023053,0.04885999999804675,5.0,0.698,0.3999838001093497,0.0035999514001968298,1.5797963267948967,1044.7368728332763,0.026479425648573297,-0.00043532456582955867,0.6969630718231201,2.5,6.25
