time,x,y,yaw,vx,vy,r,delta,Fx,Delta_delta,target_x,target_y,target_yaw,cost,alpha_f,alpha_r,runtime,vx_goal,r_goal
0,0.4,0.0,1.5707963267948966,0.0,0.0,0.0,0.0,5.0,-0.698,0.4,0.0,1.5707963267948966,216.14640313921376,-0.0349,0.0,0.017754316329956055,2.5,6.25
0.05,0.4,0.0,1.5707963267948966,0.10638297872340424,0.0,0.0,-0.0349,5.0,0.698,0.39999500001041666,0.0019999916666770838,1.5757963267948967,211.72328691835725,-0.017460498092360194,-6.290026343273775e-05,0.01948404312133789,2.5,6.25
0.1,0.4,0.005319148936170212,1.5707963267948966,0.21050559034462332,0.002055212316032691,0.014251615430824177,0.0,5.0,0.698,0.3999800001666661,0.003999933333666667,1.5807963267948966,206.81346364377305,0.0008868126380799785,-0.00039682580381473776,0.01946091651916504,2.5,6.25
0.15000000000000002,0.3998972393841984,0.01584442845340138,1.5715089075664377,0.31240979994550855,0.005981270065994021,0.040880079491231916,0.0349,5.0,0.698,0.3999550008437437,0.005999775002531238,1.5857963267948967,201.4767556825681,0.019646594221567053,-0.0010017025599801234,0.020082950592041016,2.5,6.25
0.2,0.39958704509695453,0.03146470137797439,1.5735529115409992,0.4121464519402687,0.011716385185937846,0.07889124017209274,0.0698,4.999999999926265,0.6979999999945906,0.39992000266663114,0.007999466677333233,1.5907963267948966,195.7708280916787,0.03873210553363993,-0.0018536252699385095,0.021033763885498047,2.5,6.25
0.25,0.3989444223042194,0.05207033082160462,1.577497473549604,0.5097661633554877,0.019193408365275413,0.1273624500341886,0.10469999999972954,4.999999999955132,0.6979999999965073,0.3998750065102811,0.009998958365884934,1.5957963267948967,189.7508620181883,0.058125552420474055,-0.0029260218598120393,0.020710229873657227,2.5,6.25
0.30000000000000004,0.39781397381780004,0.07755163586641498,1.5838655960513133,0.6053194643349078,0.028340035163390963,0.18543308294145638,0.1395999999995549,4.999999999960125,0.6979999999969178,0.39982001349959506,0.011998200080998268,1.6007963267948966,183.46926902637028,0.0778277108979179,-0.004192823653587493,0.02088141441345215,2.5,6.25
0.35000000000000003,0.39600155018108385,0.10779650566776272,1.593137250198386,0.6988569353769065,0.03907977296593981,0.2523001947658011,0.1744999999994008,4.999999999941283,0.6979999999959167,0.39975502500939547,0.013997141841734478,1.6057963267948967,176.975490234235,0.0978451631160776,-0.005629201371882378,0.021373748779296875,2.5,6.25
0.4,0.39326745862177664,0.14268698223793877,1.605752259936676,0.7904292960507628,0.05133291043860444,0.32721508767452556,0.20939999999919665,4.999999999889572,0.6979999999935632,0.39968004266439117,0.015995733674653668,1.6107963267948966,170.31587347381065,0.11818606534274761,-0.0072117432677822136,0.022148609161376953,2.5,6.25
0.45,0.38932115270434126,0.18209460230030133,1.6221130143204023,0.880087446287482,0.06501739833672752,0.4094802036921359,0.2442999999988748,4.999999999780172,0.697999999987853,0.399595068339137,0.017993925615064098,1.6157963267948967,163.53361668624413,0.1388585139507103,-0.008918465874687222,0.022868871688842773,2.5,6.25
0.5,0.3838173946250246,0.22587429605211512,1.6425870245050092,0.9678824667567874,0.08004962753582093,0.4984462026594016,0.27919999999826745,4.99999999994777,0.6979999999973481,0.39950010415798654,0.019991667708271335,1.6207963267948966,156.6687658704442,0.1598698678185442,-0.010728766566147381,0.02347421646118164,2.5,6.25
0.55,0.37635395869712834,0.2738566694298437,1.6675093346379792,1.0538655857363648,0.09634510586200316,0.5935091719485203,0.31409999999813487,4.999999999964734,0.6979999999983482,0.39939515249503943,0.021988910010827097,1.6257963267948967,149.75825694742252,0.18122647289781899,-0.012623354930937365,0.023252010345458984,2.5,6.25
0.6000000000000001,0.36647102982900565,0.32583854461288375,1.6971847932354052,1.1380881197016306,0.11381903972622082,0.6941079446132425,0.34899999999805226,5.0,0.698,0.3992802159740817,0.023985602591777844,1.6307963267948966,142.83599210363133,0.20293357266499648,-0.014584177312365103,0.024404048919677734,2.5,6.25
0.65,0.3536525429504953,0.38157170125389,1.7318901904660673,1.220601394411163,0.1323868281472675,0.7997215156515883,0.38389999999805224,4.999999999947445,0.6979999999979991,0.39915529746852046,0.02598169553391304,1.6357963267948967,135.9329424214898,0.22499530993989061,-0.01659434064236739,0.024079561233520508,2.5,6.25
0.7000000000000001,0.33732980467807255,0.4407498501439441,1.7718762662486467,1.3014566524076427,0.1519644773811788,0.9098665532831027,0.4187999999979522,5.0,0.698,0.39902040010131185,0.027977138935013107,1.6407963267948966,129.07726976119073,0.2474147747840638,-0.01863803836536313,0.022504806518554688,2.5,6.25
